,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
0,La Palma,US,33.8464,-118.0467,65.91,56,75,1.99,broken clouds
1,Castro,BR,-24.7911,-50.0119,64.42,58,0,4.34,clear sky
2,Miri,MY,4.4148,114.0089,77.14,100,40,0.0,scattered clouds
3,Esperance,AU,-33.8667,121.9,62.44,72,0,14.63,clear sky
4,Hasaki,JP,35.7333,140.8333,30.6,62,0,6.29,clear sky
5,Kirakira,SB,-10.4544,161.9205,82.63,81,99,4.76,light rain
6,Torbay,CA,47.6666,-52.7314,24.76,76,20,19.57,few clouds
7,Khatanga,RU,71.9667,102.5,-42.2,100,100,5.41,overcast clouds
8,Bluff,NZ,-46.6,168.3333,56.8,73,100,12.5,overcast clouds
9,Jamestown,US,42.097,-79.2353,47.84,71,1,3.44,clear sky
10,Thompson,CA,55.7435,-97.8558,15.96,86,90,10.36,light snow
11,Mataura,NZ,-46.1927,168.8643,56.48,79,100,6.38,light rain
12,Hermanus,ZA,-34.4187,19.2345,64.9,91,20,9.26,few clouds
13,Abu Zabad,SD,12.35,29.25,71.8,36,0,12.19,clear sky
14,Rikitea,PF,-23.1203,-134.9692,76.32,69,48,17.25,scattered clouds
15,Vardo,NO,70.3705,31.1107,21.4,89,100,26.49,light snow
16,Kapaa,US,22.0752,-159.319,80.92,73,1,1.99,light rain
17,Les Cayes,HT,18.2,-73.75,76.14,74,7,0.2,clear sky
18,Manaure,CO,11.7751,-72.4445,89.71,63,38,18.34,scattered clouds
19,Vaini,TO,-21.2,-175.2,82.56,83,20,12.66,few clouds
20,Carnarvon,AU,-24.8667,113.6333,69.87,78,40,14.97,scattered clouds
21,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,22,9.22,few clouds
22,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,77,20,19.57,few clouds
23,Aykhal,RU,66.0,111.5,-18.53,96,100,10.33,overcast clouds
24,Tiznit,MA,29.5833,-9.5,57.04,37,0,1.99,clear sky
25,Dikson,RU,73.5069,80.5464,-15.05,80,100,2.1,overcast clouds
26,Dakar,SN,14.6937,-17.4441,71.73,83,0,6.91,clear sky
27,Puerto Madryn,AR,-42.7692,-65.0385,69.82,55,0,24.56,clear sky
28,Tasiilaq,GL,65.6145,-37.6368,32.16,81,100,12.88,overcast clouds
29,Bonfim,BR,3.0833,-59.95,83.68,64,95,5.17,overcast clouds
30,Tiksi,RU,71.6872,128.8694,-4.85,93,100,10.02,overcast clouds
31,Hobart,AU,-42.8794,147.3294,55.26,80,75,3.0,broken clouds
32,Punta Arenas,CL,-53.15,-70.9167,55.51,58,0,14.97,clear sky
33,Sibolga,ID,1.7427,98.7792,75.42,87,88,2.46,overcast clouds
34,Avarua,CK,-21.2078,-159.775,82.45,74,100,10.36,overcast clouds
35,Coquimbo,CL,-29.9533,-71.3436,62.33,72,90,8.05,overcast clouds
36,Ushuaia,AR,-54.8,-68.3,49.66,76,75,17.27,broken clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,69.82,85,0,21.99,clear sky
38,Harper,LR,4.375,-7.7169,80.1,83,21,8.34,few clouds
39,Bredasdorp,ZA,-34.5322,20.0403,63.28,85,50,5.75,scattered clouds
40,Maraa,BR,-1.8333,-65.3667,76.32,97,98,0.31,heavy intensity rain
41,Chokurdakh,RU,70.6333,147.9167,-47.36,100,77,3.67,broken clouds
42,Busselton,AU,-33.65,115.3333,57.04,77,25,3.65,scattered clouds
43,Saint George,US,37.1041,-113.5841,48.63,26,75,11.99,broken clouds
44,Sao Filipe,CV,14.8961,-24.4956,74.98,68,75,12.01,broken clouds
45,Nisia Floresta,BR,-6.0911,-35.2086,82.78,79,37,9.71,scattered clouds
46,Troitskoye,RU,52.9821,84.6757,4.55,90,32,5.66,scattered clouds
47,Waipawa,NZ,-41.4122,175.5153,68.04,65,100,13.22,light rain
48,Rio Gallegos,AR,-51.6226,-69.2181,60.85,39,75,12.66,broken clouds
49,Rio Grande,BR,-32.035,-52.0986,69.91,74,98,8.1,overcast clouds
50,Katsuura,JP,35.1333,140.3,42.91,73,0,4.61,clear sky
51,Cape Town,ZA,-33.9258,18.4232,65.12,76,75,10.36,broken clouds
52,Saint-Paul,RE,-21.0096,55.2707,77.09,69,84,3.18,broken clouds
